candidate,class,precision,recall,f1,support
56_te_disagreement,GALAXY,0.9908291498507071,0.9599713892126736,0.9751562155209068,377480
56_te_disagreement,QSO,0.9514406575415326,0.977301247193601,0.9641975828525708,117143
56_te_disagreement,STAR,0.8829521556256572,0.9744451428847735,0.9264452361797494,82724
68_research_material_stack,GALAXY,0.9907538243308617,0.9603104800254318,0.9752946414998903,377480
68_research_material_stack,QSO,0.9519936124557113,0.9771134425445822,0.9643899788100785,117143
68_research_material_stack,STAR,0.883516748509295,0.9743847009332237,0.9267285980362849,82724
69_guarded_research_stack,GALAXY,0.9906406228657287,0.9606442725442408,0.9754118865412291,377480
69_guarded_research_stack,QSO,0.9529214830607282,0.9767805161213218,0.9647035018274253,117143
69_guarded_research_stack,STAR,0.883601363721073,0.9743605241526039,0.9267642070769497,82724
84_classwise_research_blend,GALAXY,0.9907569111357083,0.9603502172300519,0.9753166302337312,377480
84_classwise_research_blend,QSO,0.9520090492468665,0.9771049059696268,0.9643937415218179,117143
84_classwise_research_blend,STAR,0.8836452132732594,0.9744088777138437,0.9268101986260024,82724
90_subset_guard_68_plus_84,GALAXY,0.990756885874051,0.9603475680830772,0.9753152518113358,377480
90_subset_guard_68_plus_84,QSO,0.952017366569354,0.9771134425445822,0.964402167044411,117143
90_subset_guard_68_plus_84,STAR,0.8836464887855999,0.9744209661041535,0.9268163682982075,82724
