fold,balanced_accuracy,prediction_iteration,tree_count,best_valid_balanced_accuracy,best_valid_logloss_at_best_bac,stopped_after_iterations,stale_chunks_at_stop,class_recalls
1,0.967857997354754,4500,4500,0.967857997354754,0.10223980247974396,4500,0,"{'GALAXY': 0.9590839249761577, 'QSO': 0.9743480302189594, 'STAR': 0.9701420368691448}"
2,0.9692257160053172,4500,4500,0.9692257160053172,0.09937074780464172,4500,0,"{'GALAXY': 0.9591898908551446, 'QSO': 0.9766528661061078, 'STAR': 0.9718343910546993}"
3,0.9689491902360698,4350,4500,0.9689491902360698,0.10288549214601517,4500,1,"{'GALAXY': 0.958024266186288, 'QSO': 0.9765675018139912, 'STAR': 0.9722558027079303}"
4,0.9682978032466064,4350,4500,0.9682978032466064,0.10310192406177521,4500,1,"{'GALAXY': 0.9576268941400868, 'QSO': 0.9760969779750726, 'STAR': 0.9711695376246601}"
5,0.9673415594071978,4350,4500,0.9673415594071978,0.10399629175662994,4500,1,"{'GALAXY': 0.9573752251774929, 'QSO': 0.975414034488646, 'STAR': 0.9692354185554548}"
