candidate,oof_balanced_accuracy,delta_vs_56,changed_rows_vs_56,public_score_seen,worst_subset,worst_subset_delta_vs_56,best_subset,best_subset_delta_vs_56,mean,std,min,max,positive_rate
90_subset_guard_68_plus_84,0.9706273255772709,5.473248025489319e-05,242,0.97096,u_r_bin=6,-0.000665977207903623,u_r_bin=0,0.0016890406345361209,5.4732468012834715e-05,4.8294880759123466e-05,-1.8188113744432854e-05,0.000147730329781659,0.9
84_classwise_research_blend,0.9706213336378409,4.874054082482093e-05,259,0.97096,u_r_bin=6,-0.0006596264289807641,u_r_bin=0,0.0016890406345361209,4.874043115602245e-05,4.59275414837995e-05,-3.003115034272419e-05,0.0001565608196972823,0.82
68_research_material_stack,0.9706028745010792,3.0281404063137174e-05,214,0.97096,u_r_bin=6,-0.000697731102518806,g_i_bin=0,0.0012852672313241609,3.028146488124994e-05,4.68284489516391e-05,-5.599616721330136e-05,0.00013199850110190425,0.64
69_guarded_research_stack,0.9705951042727222,2.251117570617467e-05,642,0.97103,spectral_population=O/B_Red_Sequence,-0.0033103764921946777,mag_range_bin=0,0.004008228994433094,2.2510763114118594e-05,9.131081697246649e-05,-0.00018795578182051464,0.00018448966761019925,0.62
56_te_disagreement,0.970572593097016,0.0,0,0.97097,spectral_type=A/F,0.0,spectral_type=A/F,0.0,0.0,0.0,0.0,0.0,0.0
