candidate,class,precision,recall,f1,support
rollback_weak_gi2_to_69_guarded_research_stack,GALAXY,0.9907681460043126,0.9603926035816467,0.9753439325680971,377480
rollback_weak_gi2_to_69_guarded_research_stack,QSO,0.9522308095471826,0.9771049059696268,0.9645075122395154,117143
rollback_weak_gi2_to_69_guarded_research_stack,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,GALAXY,0.9907968249456064,0.9602760411147611,0.9752977135384997,377480
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,STAR,0.8835863429604867,0.9744934964460132,0.9268160888485217,82724
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-classwise-logistic-blender_GALAXY_a0p0050,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-classwise-logistic-blender_GALAXY_a0p0100,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
classblend_our-classwise-logistic-blender_STAR_a0p0050,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-classwise-logistic-blender_STAR_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-classwise-logistic-blender_STAR_a0p0050,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
classblend_our-classwise-logistic-blender_STAR_a0p0100,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-classwise-logistic-blender_STAR_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-classwise-logistic-blender_STAR_a0p0100,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,GALAXY,0.9907967997900785,0.9602733919677864,0.9752963350109171,377480
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_our-ovr-catboost-realmlp-features_STAR_a0p0050,STAR,0.8835766583366215,0.9744934964460132,0.9268107610945044,82724
rollback_weak_gk_red_to_56_te_disagreement,GALAXY,0.9907993822520467,0.960260146232913,0.9752907543806545,377480
rollback_weak_gk_red_to_56_te_disagreement,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
rollback_weak_gk_red_to_56_te_disagreement,STAR,0.8835295149163762,0.9745055848363232,0.9267902923559777,82724
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,GALAXY,0.9907941922505029,0.9602839885556851,0.975300537038432,377480
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,QSO,0.9518634315078744,0.9772073448690917,0.9643689054569197,117143
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0100,STAR,0.8836334937355447,0.9744814080557033,0.9268365593005007,82724
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,GALAXY,0.9907838131836295,0.9603316732012293,0.9753201014854216,377480
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,QSO,0.9518713464880552,0.9772073448690917,0.9643729675995351,117143
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0400,STAR,0.8837930883255855,0.9744330544944635,0.9269024676310282,82724
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0050,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0100,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_STAR_a0p0050,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_STAR_a0p0100,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0050,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0050,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0050,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0100,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0100,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0100,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0150,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0150,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0200,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0200,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0250,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0250,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
