name,oof_balanced_accuracy,oof_delta_vs_base,selected_rows,test_selected_rows,feature_mask,transition_rule,challenger_conf_min,challenger_margin_min,base_conf_max,class_recalls,transition_counts,outcome_counts,meta_fold_mean_delta,meta_fold_min_delta,meta_fold_positive_rate
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_50_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.5,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_star_c0_45_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,gi_7_9,base_galaxy_to_star,0.45,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_star_c0_50_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,gi_7_9,base_galaxy_to_star,0.5,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_star_c0_40_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,gi_7_9,base_galaxy_to_star,0.4,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_star_c0_40_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,high_gi_low_rz,base_galaxy_to_star,0.4,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_40_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.4,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_45_m0_10_b0_60,0.970570552703461,4.256683842274178e-05,102,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.45,0.1,0.6,"{'GALAXY': 0.9599290028610787, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{'GALAXY->STAR': 102},"{'broken': 75, 'fixed': 27}",4.256688719773472e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_non_galaxy_c0_45_m0_15_b0_60,0.9705699439500414,4.1958085003068746e-05,86,40,gi_7_9,base_galaxy_to_non_galaxy,0.45,0.15,0.6,"{'GALAXY': 0.9599634417717495, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}","{'GALAXY->QSO': 3, 'GALAXY->STAR': 83}","{'broken': 62, 'fixed': 24}",4.195818248246663e-05,-3.725111081376298e-05,0.76
gi_7_9_base_galaxy_to_non_galaxy_c0_50_m0_15_b0_60,0.9705699439500414,4.1958085003068746e-05,86,40,gi_7_9,base_galaxy_to_non_galaxy,0.5,0.15,0.6,"{'GALAXY': 0.9599634417717495, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}","{'GALAXY->QSO': 3, 'GALAXY->STAR': 83}","{'broken': 62, 'fixed': 24}",4.195818248246663e-05,-3.725111081376298e-05,0.76
gi_7_9_base_galaxy_to_non_galaxy_c0_40_m0_15_b0_60,0.9705699439500414,4.1958085003068746e-05,86,40,gi_7_9,base_galaxy_to_non_galaxy,0.4,0.15,0.6,"{'GALAXY': 0.9599634417717495, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}","{'GALAXY->QSO': 3, 'GALAXY->STAR': 83}","{'broken': 62, 'fixed': 24}",4.195818248246663e-05,-3.725111081376298e-05,0.76
gi_7_9_base_galaxy_to_non_galaxy_c0_55_m0_15_b0_60,0.9705699439500414,4.1958085003068746e-05,86,40,gi_7_9,base_galaxy_to_non_galaxy,0.55,0.15,0.6,"{'GALAXY': 0.9599634417717495, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}","{'GALAXY->QSO': 3, 'GALAXY->STAR': 83}","{'broken': 62, 'fixed': 24}",4.195818248246663e-05,-3.725111081376298e-05,0.76
gi_7_9_base_galaxy_to_star_c0_55_m0_00_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,gi_7_9,base_galaxy_to_star,0.55,0.0,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
gi_7_9_base_galaxy_to_star_c0_55_m0_08_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,gi_7_9,base_galaxy_to_star,0.55,0.08,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_10_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_star,0.55,0.1,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_10_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.1,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_08_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_star,0.55,0.08,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_08_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.08,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_05_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.05,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
gi_7_9_base_galaxy_to_star_c0_55_m0_05_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,gi_7_9,base_galaxy_to_star,0.55,0.05,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
gi_7_9_base_galaxy_to_star_c0_55_m0_10_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,gi_7_9,base_galaxy_to_star,0.55,0.1,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_05_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_star,0.55,0.05,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_02_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_star,0.55,0.02,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_00_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_star,0.55,0.0,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_00_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.0,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
gi_7_9_base_galaxy_to_star_c0_55_m0_02_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,gi_7_9,base_galaxy_to_star,0.55,0.02,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_02_b0_60,0.970569172386999,4.1186521960723255e-05,98,48,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.02,0.6,"{'GALAXY': 0.9599369503020028, 'QSO': 0.977301247193601, 'STAR': 0.9744693196653934}",{'GALAXY->STAR': 98},"{'broken': 72, 'fixed': 26}",4.118657073340248e-05,-3.725111081376298e-05,0.72
high_gi_low_rz_base_galaxy_to_star_c0_45_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_star,0.45,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_45_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_non_galaxy,0.45,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_star_c0_40_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_star,0.4,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
